,University,Former names,Detailed_Location,Students,Undergraduates,Postgraduates,Url,Location,Established,Number of students,Tuition fee,Degree powers
67,Oxford Brookes University,,"Oxford, England","16,665 (2018/19)[3]","12,785 (2018/19)[3]","3,885 (2018/19)[3]",https://en.wikipedia.org/wiki/Oxford_Brookes_University,Oxford,1992 (1970),"16,665","£9,250",Full
68,"St Mary's University, Twickenham",,"Strawberry Hill, Twickenham, London, United Kingdom51°26′15″N 0°20′06″W﻿ / ﻿51.4376°N 0.335°W﻿ / 51.4376; -0.335Coordinates: 51°26′15″N 0°20′06″W﻿ / ﻿51.4376°N 0.335°W﻿ / 51.4376; -0.335","5,490 (2018/19)[2]","3,535 (2018/19)[2]","1,955 (2018/19)[2]","https://en.wikipedia.org/wiki/St_Mary%27s_University,_Twickenham",Strawberry Hill (London),2014 (1850),"5,490","£9,250",Taught
69,University of Exeter,,"Exeter, DevonPenryn, Cornwall, England50°44′11″N 3°32′04″W﻿ / ﻿50.736509°N 3.534422°W﻿ / 50.736509; -3.534422Coordinates: 50°44′11″N 3°32′04″W﻿ / ﻿50.736509°N 3.534422°W﻿ / 50.736509; -3.534422","23,613 (2018/19)","18,932 (2018/19)","4,681 (2018/19)",https://en.wikipedia.org/wiki/University_of_Exeter,"Exeter, Penryn",1955 (1922),"25,010","£9,250",Full
70,Leeds Trinity University,All Saints CollegeTrinity CollegeLeeds Trinity & All Saints,"Horsforth, West Yorkshire, England53°50′55″N 1°38′53″W﻿ / ﻿53.84855°N 1.64809°W﻿ / 53.84855; -1.64809Coordinates: 53°50′55″N 1°38′53″W﻿ / ﻿53.84855°N 1.64809°W﻿ / 53.84855; -1.64809","3,415 (2018/19)[1]","2,710 (2018/19)[1]",705 (2018/19)[1],https://en.wikipedia.org/wiki/Leeds_Trinity_University,Leeds,2012 (1966),"3,415","£9,250",Taught
71,London South Bank University,"Borough Polytechnic Institute (1892-1970), Polytechnic of the South Bank (1970-1987), South Bank Polytechnic (1987-1992)","Southwark, London, England, United KingdomCoordinates: 51°29′53″N 0°06′06″W﻿ / ﻿51.49814°N 0.10154°W﻿ / 51.49814; -0.10154","17,125 (2018/19)[3]","12,600 (2018/19)[3]","4,525 (2018/19)[3]",https://en.wikipedia.org/wiki/London_South_Bank_University,Southwark (London),1992 (1892),"17,125","£9,000",Full
72,University of Liverpool,,"Liverpool, EnglandCoordinates: 53°24′22″N 2°58′01″W﻿ / ﻿53.406°N 2.967°W﻿ / 53.406; -2.967","29,695 (2018/19)[5]","22,735 (2018/19)[5]","6,960 (2018/19)[5]",https://en.wikipedia.org/wiki/University_of_Liverpool,Liverpool,1903,"29,695","£9,250",Full
73,Kingston University,,"Kingston upon Thames, London, United Kingdom51°24′13″N 0°18′14″W﻿ / ﻿51.4035°N 0.3039°W﻿ / 51.4035; -0.3039Coordinates: 51°24′13″N 0°18′14″W﻿ / ﻿51.4035°N 0.3039°W﻿ / 51.4035; -0.3039","16,820 (2018/19)[5]","12,690 (2018/19)[5]","4,130 (2018/19)[5]",https://en.wikipedia.org/wiki/Kingston_University,Kingston upon Thames,1992 (1899),"16,820","£9,250",Full
74,Coventry University,Coventry Polytechnic (1987–1992)Lanchester Polytechnic (1970–1987),"Coventry, England52°24′29″N 1°30′22″W﻿ / ﻿52.40805°N 1.50600°W﻿ / 52.40805; -1.50600Coordinates: 52°24′29″N 1°30′22″W﻿ / ﻿52.40805°N 1.50600°W﻿ / 52.40805; -1.50600","34,985 (2018/19)[5]","29,005 (2018/19)[5]","5,980 (2018/19)[5]",https://en.wikipedia.org/wiki/Coventry_University,Coventry,1992 (1843),"34,985","£6,009–9,250",Full
75,University of Bath,,"Bath, Somerset, England51°22′47″N 2°19′41″W﻿ / ﻿51.3796°N 2.3280°W﻿ / 51.3796; -2.3280Coordinates: 51°22′47″N 2°19′41″W﻿ / ﻿51.3796°N 2.3280°W﻿ / 51.3796; -2.3280","18,065 (2018/19)[3]","13,415 (2018/19)[3]","4,655 (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_Bath,Bath,1966,"18,065","£9,250",Full
76,University of Hertfordshire,,"Hertfordshire, United Kingdom","24,280 (2018/19)[3]","18,145 (2018/19)[3]","6,135 (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_Hertfordshire,Hatfield,1992 (1952),"24,280","£9,250",Full
77,Birmingham City University,"
Birmingham College of Art
Birmingham Polytechnic
University of Central England in Birmingham
","Birmingham, West Midlands, United Kingdom52°28′56″N 1°53′19″W﻿ / ﻿52.48222°N 1.88861°W﻿ / 52.48222; -1.88861Coordinates: 52°28′56″N 1°53′19″W﻿ / ﻿52.48222°N 1.88861°W﻿ / 52.48222; -1.88861","25,855 HE (2018/19)[3]","20,480 (2018/19)[3]","5,380 (2018/19)[3]",https://en.wikipedia.org/wiki/Birmingham_City_University,Birmingham,1992 (1843),"25,855","£9,250",Full
78,University of Leicester,,"Leicester, England, UK","16,855 (2018/19)[4]","12,195 (2018/19)[4]","4,655 (2018/19)[4]",https://en.wikipedia.org/wiki/University_of_Leicester,Leicester,1957 (1921),"16,855","£9,250",Full
79,University of Essex,,"Colchester, Essex, UK","14,760 (2017-18)[2]","11,370 (2017-18)[2]","3,390 (2017-18)[2]",https://en.wikipedia.org/wiki/University_of_Essex,Colchester,1964,"15,600","£9,250",Full
80,University of Gloucestershire,,"Cheltenham and Gloucester, England, UK51°53′16″N 2°05′20″W﻿ / ﻿51.887909°N 2.088797°W﻿ / 51.887909; -2.088797Coordinates: 51°53′16″N 2°05′20″W﻿ / ﻿51.887909°N 2.088797°W﻿ / 51.887909; -2.088797","9,220 (2017/18)[4]",,,https://en.wikipedia.org/wiki/University_of_Gloucestershire,"Cheltenham, Gloucester",2001 (1998),"8,255","£9,250",Full
